locus_tag	ftype	length_bp	gene	EC_number	COG	product
KCNFFHNL_00001	gene	1491	dnaA			
KCNFFHNL_00001	CDS	1491	dnaA		COG0593	Chromosomal replication initiator protein DnaA
KCNFFHNL_00002	gene	1209	dnaN			
KCNFFHNL_00002	CDS	1209	dnaN		COG0592	Beta sliding clamp
KCNFFHNL_00003	gene	1158	recF			
KCNFFHNL_00003	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
KCNFFHNL_00004	gene	516				
KCNFFHNL_00004	CDS	516				hypothetical protein
KCNFFHNL_00005	gene	2145	gyrB1			
KCNFFHNL_00005	CDS	2145	gyrB1	5.6.2.2		DNA gyrase subunit B
KCNFFHNL_00006	gene	2517	gyrA1			
KCNFFHNL_00006	CDS	2517	gyrA1	5.6.2.2		DNA gyrase subunit A
KCNFFHNL_00007	gene	198				
KCNFFHNL_00007	CDS	198				hypothetical protein
KCNFFHNL_00008	gene	306				
KCNFFHNL_00008	CDS	306				putative protein
KCNFFHNL_00009	gene	75				
KCNFFHNL_00009	tRNA	75				tRNA-Ile(gat)
KCNFFHNL_00010	gene	74				
KCNFFHNL_00010	tRNA	74				tRNA-Ala(tgc)
KCNFFHNL_00011	gene	438	cwsA			
KCNFFHNL_00011	CDS	438	cwsA			Cell wall synthesis protein CwsA
KCNFFHNL_00012	gene	549	ppiA			
KCNFFHNL_00012	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
KCNFFHNL_00013	gene	153				
KCNFFHNL_00013	CDS	153				hypothetical protein
KCNFFHNL_00014	gene	360				
KCNFFHNL_00014	CDS	360				hypothetical protein
KCNFFHNL_00015	gene	282	crgA			
KCNFFHNL_00015	CDS	282	crgA			Cell division protein CrgA
KCNFFHNL_00016	gene	744				
KCNFFHNL_00016	CDS	744				hypothetical protein
KCNFFHNL_00017	gene	699	trpG			
KCNFFHNL_00017	CDS	699	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
KCNFFHNL_00018	gene	1881	pknB			
KCNFFHNL_00018	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
KCNFFHNL_00019	gene	1296	pknA			
KCNFFHNL_00019	CDS	1296	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
KCNFFHNL_00020	gene	1476	pbpA			
KCNFFHNL_00020	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
KCNFFHNL_00021	gene	1410	rodA			
KCNFFHNL_00021	CDS	1410	rodA		COG0772	putative FtsW-like protein
KCNFFHNL_00022	gene	1536	pstP			
KCNFFHNL_00022	CDS	1536	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
KCNFFHNL_00023	gene	468	fhaB			
KCNFFHNL_00023	CDS	468	fhaB		COG1716	FHA domain-containing protein FhaB
KCNFFHNL_00024	gene	1566	fhaA			
KCNFFHNL_00024	CDS	1566	fhaA		COG1716	FHA domain-containing protein FhaA
KCNFFHNL_00025	gene	85				
KCNFFHNL_00025	tRNA	85				tRNA-Leu(cag)
KCNFFHNL_00026	gene	969	IMPDH			
KCNFFHNL_00026	CDS	969	IMPDH	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
KCNFFHNL_00027	gene	420	whiB5			
KCNFFHNL_00027	CDS	420	whiB5			Transcriptional regulator WhiB5
KCNFFHNL_00028	gene	771				
KCNFFHNL_00028	CDS	771			COG1396	putative HTH-type transcriptional regulator
KCNFFHNL_00029	gene	846				
KCNFFHNL_00029	CDS	846				hypothetical protein
KCNFFHNL_00030	gene	363				
KCNFFHNL_00030	CDS	363				putative protein
KCNFFHNL_00031	gene	1434				
KCNFFHNL_00031	CDS	1434				hypothetical protein
KCNFFHNL_00032	gene	318				
KCNFFHNL_00032	CDS	318				hypothetical protein
KCNFFHNL_00033	gene	306				
KCNFFHNL_00033	CDS	306				putative protein
KCNFFHNL_00034	gene	144				
KCNFFHNL_00034	CDS	144				putative proteinA
KCNFFHNL_00035	gene	876				
KCNFFHNL_00035	CDS	876				hypothetical protein
KCNFFHNL_00036	gene	330				
KCNFFHNL_00036	CDS	330				putative protein
KCNFFHNL_00037	gene	2316	bioF2			
KCNFFHNL_00037	CDS	2316	bioF2	2.3.1.47	COG0156	Putative 8-amino-7-oxononanoate synthase 2
KCNFFHNL_00038	gene	264	acpP			
KCNFFHNL_00038	CDS	264	acpP			Acyl carrier protein
KCNFFHNL_00039	gene	396				
KCNFFHNL_00039	CDS	396			COG3631	putative protein
KCNFFHNL_00040	gene	1689	menE_1			
KCNFFHNL_00040	CDS	1689	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
KCNFFHNL_00041	gene	774				
KCNFFHNL_00041	CDS	774				putative protein
KCNFFHNL_00042	gene	1311				
KCNFFHNL_00042	CDS	1311			COG0477	putative MFS-type transporter
KCNFFHNL_00043	gene	633				
KCNFFHNL_00043	CDS	633				hypothetical protein
KCNFFHNL_00044	gene	348				
KCNFFHNL_00044	CDS	348				hypothetical protein
KCNFFHNL_00045	gene	933				
KCNFFHNL_00045	CDS	933				Proline-rich 28 kDa antigen
KCNFFHNL_00046	gene	2877	leuS			
KCNFFHNL_00046	CDS	2877	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
KCNFFHNL_00047	gene	627				
KCNFFHNL_00047	CDS	627				hypothetical protein
KCNFFHNL_00048	gene	735				
KCNFFHNL_00048	CDS	735			COG1802	putative HTH-type transcriptional regulator
KCNFFHNL_00049	gene	795	rutA			
KCNFFHNL_00049	CDS	795	rutA	1.14.99.46		Pyrimidine monooxygenase RutA
KCNFFHNL_00050	gene	897				
KCNFFHNL_00050	CDS	897		3.5.1.29		2-(acetamidomethylene)succinate hydrolase
KCNFFHNL_00051	gene	1104	ino1			
KCNFFHNL_00051	CDS	1104	ino1	5.5.1.4	COG1260	Inositol-3-phosphate synthase
KCNFFHNL_00052	gene	543				
KCNFFHNL_00052	CDS	543				hypothetical protein
KCNFFHNL_00053	gene	870				
KCNFFHNL_00053	CDS	870				putative protein
KCNFFHNL_00054	gene	414				
KCNFFHNL_00054	CDS	414				putative protein
KCNFFHNL_00055	gene	2475	ponA1			
KCNFFHNL_00055	CDS	2475	ponA1		COG0744	Penicillin-binding protein 1A
KCNFFHNL_00056	gene	1683				
KCNFFHNL_00056	CDS	1683				hypothetical protein
KCNFFHNL_00057	gene	639	inhA_1			
KCNFFHNL_00057	CDS	639	inhA_1	4.2.1.103		Isonitrile hydratase
KCNFFHNL_00058	gene	291	rpsF			
KCNFFHNL_00058	CDS	291	rpsF		COG0360	30S ribosomal protein S6
KCNFFHNL_00059	gene	495	ssb			
KCNFFHNL_00059	CDS	495	ssb		COG0629	Single-stranded DNA-binding protein
KCNFFHNL_00060	gene	255	rpsR1_1			
KCNFFHNL_00060	CDS	255	rpsR1_1		COG0238	30S ribosomal protein S18 1
KCNFFHNL_00061	gene	459	rplI			
KCNFFHNL_00061	CDS	459	rplI		COG0359	50S ribosomal protein L9
KCNFFHNL_00062	gene	522				
KCNFFHNL_00062	CDS	522				hypothetical protein
KCNFFHNL_00063	gene	2625	dnaB			
KCNFFHNL_00063	CDS	2625	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
KCNFFHNL_00064	gene	693				
KCNFFHNL_00064	CDS	693				hypothetical protein
KCNFFHNL_00065	gene	1059				
KCNFFHNL_00065	CDS	1059				hypothetical protein
KCNFFHNL_00066	gene	654				
KCNFFHNL_00066	CDS	654				hypothetical protein
KCNFFHNL_00067	gene	924	cenA			
KCNFFHNL_00067	CDS	924	cenA	3.2.1.4	COG5297	Endoglucanase A
KCNFFHNL_00068	gene	1440	yvdP			
KCNFFHNL_00068	CDS	1440	yvdP	1.21.-.-	COG0277	putative FAD-linked oxidoreductase YvdP
KCNFFHNL_00069	gene	156				
KCNFFHNL_00069	CDS	156				hypothetical protein
KCNFFHNL_00070	gene	2940				
KCNFFHNL_00070	CDS	2940				hypothetical protein
KCNFFHNL_00071	gene	240				
KCNFFHNL_00071	CDS	240				hypothetical protein
KCNFFHNL_00072	gene	402	vapC9_1			
KCNFFHNL_00072	CDS	402	vapC9_1	3.1.-.-	COG4113	Ribonuclease VapC9
KCNFFHNL_00073	gene	2238	icd2			
KCNFFHNL_00073	CDS	2238	icd2	1.1.1.42		Isocitrate dehydrogenase [NADP] 2
KCNFFHNL_00074	gene	570				
KCNFFHNL_00074	CDS	570				hypothetical protein
KCNFFHNL_00075	gene	912				
KCNFFHNL_00075	CDS	912				hypothetical protein
KCNFFHNL_00076	gene	1386	sdaA			
KCNFFHNL_00076	CDS	1386	sdaA	4.3.1.17	COG1760	L-serine dehydratase
KCNFFHNL_00077	gene	1278	glyA2			
KCNFFHNL_00077	CDS	1278	glyA2	2.1.2.1	COG0112	Serine hydroxymethyltransferase 2
KCNFFHNL_00078	gene	91				
KCNFFHNL_00078	misc_RNA	91				Glycine
KCNFFHNL_00079	gene	726				
KCNFFHNL_00079	CDS	726				hypothetical protein
KCNFFHNL_00080	gene	99				
KCNFFHNL_00080	misc_RNA	99				Intron_gpII
KCNFFHNL_00081	gene	1050				
KCNFFHNL_00081	CDS	1050			COG0577	putative ABC transporter permease
KCNFFHNL_00082	gene	1014				
KCNFFHNL_00082	CDS	1014			COG0664	putative ABC transporter ATP-binding protein
KCNFFHNL_00083	gene	1236	hutI_1			
KCNFFHNL_00083	CDS	1236	hutI_1	3.5.2.7		Imidazolonepropionase
KCNFFHNL_00084	gene	1173	metC			
KCNFFHNL_00084	CDS	1173	metC	4.4.1.13	COG1168	Cystathionine beta-lyase
KCNFFHNL_00085	gene	390				
KCNFFHNL_00085	CDS	390				hypothetical protein
KCNFFHNL_00086	gene	831	oleB			
KCNFFHNL_00086	CDS	831	oleB	4.1.1.114	COG0596	Cis-3-alkyl-4-alkyloxetan-2-one decarboxylase
KCNFFHNL_00087	gene	606	tetC			
KCNFFHNL_00087	CDS	606	tetC			Transposon Tn10 TetC protein
KCNFFHNL_00088	gene	594				
KCNFFHNL_00088	CDS	594				hypothetical protein
KCNFFHNL_00089	gene	207				
KCNFFHNL_00089	CDS	207				hypothetical protein
KCNFFHNL_00090	gene	822				
KCNFFHNL_00090	CDS	822				Dormancy associated translation inhibitor
KCNFFHNL_00091	gene	459				
KCNFFHNL_00091	CDS	459				putative protein
KCNFFHNL_00092	gene	345				
KCNFFHNL_00092	CDS	345			COG0640	putative HTH-type transcriptional regulator
KCNFFHNL_00093	gene	480	hycG			
KCNFFHNL_00093	CDS	480	hycG		COG3260	Formate hydrogenlyase subunit 7
KCNFFHNL_00094	gene	1923	hyfB			
