locus_tag	ftype	length_bp	gene	EC_number	COG	product
CECOAENJ_00001	gene	1491	dnaA			
CECOAENJ_00001	CDS	1491	dnaA		COG0593	Chromosomal replication initiator protein DnaA
CECOAENJ_00002	gene	1209	dnaN			
CECOAENJ_00002	CDS	1209	dnaN		COG0592	Beta sliding clamp
CECOAENJ_00003	gene	1158	recF			
CECOAENJ_00003	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
CECOAENJ_00004	gene	516				
CECOAENJ_00004	CDS	516				hypothetical protein
CECOAENJ_00005	gene	2145	gyrB1			
CECOAENJ_00005	CDS	2145	gyrB1	5.6.2.2		DNA gyrase subunit B
CECOAENJ_00006	gene	2517	gyrA1			
CECOAENJ_00006	CDS	2517	gyrA1	5.6.2.2		DNA gyrase subunit A
CECOAENJ_00007	gene	198				
CECOAENJ_00007	CDS	198				hypothetical protein
CECOAENJ_00008	gene	306				
CECOAENJ_00008	CDS	306				putative protein
CECOAENJ_00009	gene	75				
CECOAENJ_00009	tRNA	75				tRNA-Ile(gat)
CECOAENJ_00010	gene	74				
CECOAENJ_00010	tRNA	74				tRNA-Ala(tgc)
CECOAENJ_00011	gene	108				
CECOAENJ_00011	CDS	108				hypothetical protein
CECOAENJ_00012	gene	138				
CECOAENJ_00012	CDS	138				hypothetical protein
CECOAENJ_00013	gene	438	cwsA			
CECOAENJ_00013	CDS	438	cwsA			Cell wall synthesis protein CwsA
CECOAENJ_00014	gene	549	ppiA			
CECOAENJ_00014	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
CECOAENJ_00015	gene	153				
CECOAENJ_00015	CDS	153				hypothetical protein
CECOAENJ_00016	gene	360				
CECOAENJ_00016	CDS	360				hypothetical protein
CECOAENJ_00017	gene	282	crgA			
CECOAENJ_00017	CDS	282	crgA			Cell division protein CrgA
CECOAENJ_00018	gene	744				
CECOAENJ_00018	CDS	744				hypothetical protein
CECOAENJ_00019	gene	699	trpG			
CECOAENJ_00019	CDS	699	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
CECOAENJ_00020	gene	1881	pknB			
CECOAENJ_00020	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
CECOAENJ_00021	gene	1296	pknA			
CECOAENJ_00021	CDS	1296	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
CECOAENJ_00022	gene	1476	pbpA			
CECOAENJ_00022	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
CECOAENJ_00023	gene	1410	rodA			
CECOAENJ_00023	CDS	1410	rodA		COG0772	putative FtsW-like protein
CECOAENJ_00024	gene	1536	pstP			
CECOAENJ_00024	CDS	1536	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
CECOAENJ_00025	gene	468	fhaB			
CECOAENJ_00025	CDS	468	fhaB		COG1716	FHA domain-containing protein FhaB
